ref_o,ref_r,journal,abstract,outcome,outcome_quote,doi_o,doi_r
Less is better: when low-value options are valued more highly than high-value options,Many Labs 2: Investigating Variation in Replicability Across Samples and Settings,Journal of Behavioral Decision Making,"Hsee, C. K. (1998). Less is better: when low-value options are valued more highly than high-value options. Journal of Behavioral Decision Making, 11(2), 107–121. https://doi.org/10.1002/(sici)1099-0771(199806)11:2<107::aid-bdm292>3.0.co;2-y",failure,"The difference was significant, p =
.002, odds ratio (OR) = 0.87, d = −0.08, 95% CI = [−0.13,
−0.03], but in the direction opposite the prediction of
the hypothesis (i.e., that affectively attractive choices
are more preferred when they are uncertain rather than
definite). The overall effect was much smaller than in
the original study and in the opposite direction (d =
−0.08, 95% CI = [−0.13, −0.03], vs. original d = 0.74).",10.1002/(sici)1099-0771(199806)11:2%3c107::aid-bdm292%3e3.0.co;2-y,10.1177/2515245918810225
The affect heuristic in judgments of risks and benefits,Risky Therefore Not Beneficial: Replication and Extension of Finucane et al.’s (2000) Affect Heuristic Experiment,Journal of Behavioral Decision Making,"Finucane, M. L., Alhakami, A., Slovic, P., & Johnson, S. M. (2000). The affect heuristic in judgments of risks and benefits. Journal of Behavioral Decision Making, 13(1), 1–17. https://doi.org/10.1002/(sici)1099-0771(200001/03)13:1<1::aid-bdm333>3.0.co;2-s",success,"In two well-powered studies, using a more stringent analytic strategy, we
replicated the original finding. We observed a strong negative relationship between judgments of risks and benefits across
three technologies, although we do find that there was no change in risks when highlighting low benefits.",10.1002/(sici)1099-0771(200001/03)13:1<1::aid-bdm333>3.0.co;2-s,10.1177/19485506211056761
Less is better: when low-value options are valued more highly than high-value options,Many Labs 2: Investigating Variation in Replicability Across Samples and Settings,Journal of Behavioral Decision Making,"Hsee, C. K. (1998). Less is better: when low-value options are valued more highly than high-value options. Journal of Behavioral Decision Making, 11(2), 107–121. https://doi.org/10.1002/(sici)1099-0771(199806)11:2<107::aid-bdm292>3.0.co;2-y",success,"In the aggregate
replication sample (N = 7,646), participants in the scarf
condition considered their gift giver significantly more
generous (M = 5.50, SD = 0.89) than did those in the
coat condition (M = 4.61, SD = 1.34), t(6569.67) = 34.20,
p = 4.5e−236, d = 0.78, 95% CI = [0.74, 0.83]. This result
is consistent with the less-is-better effect, and the effect

size was slightly larger than in the original demonstra-
tion (d = 0.78, 95% CI = [0.74, 0.83], vs. original d =

0.69).",10.1002/(sici)1099-0771(199806)11:2<107::aid-bdm292>3.0.co;2-y,10.1177/2515245918810225
Less is better: when low-value options are valued more highly than high-value options,‎“Less Is Better” in Separate Evaluations Versus “More Is Better” in Joint Evaluations: Mostly ‎Successful Close Replication and Extension of Hsee (1998)‎,Journal of Behavioral Decision Making,"Hsee, C. K. (1998). Less is better: when low-value options are valued more highly than high-value options. Journal of Behavioral Decision Making, 11(2), 107–121. https://doi.org/10.1002/(sici)1099-0771(199806)11:2<107::aid-bdm292>3.0.co;2-y",success,"We found support for “less is better” across all studies (N = 403; Study 1 original d = 0.70
[0.24,1.15], replication d = 0.99 [0.72,1.26]; Study 2 original d = 0.74 [0.12,1.35],
replication d = 0.32 [0.07,0.56]; Study 4 original d = 0.97 [0.43,1.50], replication d = 0.76
[0.50,1.02]), with weaker support for “more is better”.",10.1002/(sici)1099-0771(199806)11:2<107::aid-bdm292>3.0.co;2-y,10.1525/collabra.77859
Eyewitness memory following discussion: using the MORI technique with a Western sample,"Eyewitness memory distortion following co-witness discussion: A replication of Garry, French, Kinzett, and Mori (2008) in ten countries.",Applied Cognitive Psychology,"Abstract Researchers studying memory conformity have made significant advances in our understanding of the phenomenon, but have used methods with significant shortcomings. Mori's three‐stage method addresses many of these concerns. To date the technique has not been replicated on a Western sample. We present such a study, and discuss two significant improvements to Mori's method. We found that subjects were more likely to report the correct answer for non‐discussed critical details than discussed critical details. Our data also suggested that when subjects agreed with their partner's information during the discussion, they did so because they thought that information was accurate; only a minority of the time did they go along with their partner during discussion and revert to their own answer at the test. We draw parallels between the unknown mechanisms driving memory conformity effects and the search for mechanisms driving the misinformation effect two decades ago. Copyright © 2007 John Wiley &amp; Sons, Ltd.",success,Each of the 10 samples replicated the Garry et al. finding: Participants often reported on the final test a non-witnessed answer that their co-witness had stated during the collaboration phase,10.1002/acp.1376,10.1037/h0101833
Paranormal and Religious Believers Are More Prone to Illusory Face Perception than Skeptics and Non‐believers,Being Watched by Anthropomorphized Objects Affects Charitable Donation in Religious People,Applied Cognitive Psychology,"Summary Illusory face perception, a tendency to find human‐like faces where none are actually present in, for example, artifacts or scenery, is a common phenomenon that occasionally enters the public eye. We used two tests (N = 47) to analyze the relationship between paranormal and religious beliefs and illusory face perception. In a detection task, the participants detected face‐like features from pictures of scenery and landscapes with and without face‐like areas and, in a rating task, evaluated the face‐likeness and emotionality of these areas. Believer groups were better at identifying the previously defined face‐like regions in the images but were also prone to false alarms. Signal detection analysis revealed that believers had more liberal answering criteria than skeptics, but the actual detection sensitivity did not differ. The paranormal believers also evaluated the artifact faces as more face‐like and emotional than the skeptics, and a similar trend was found between religious and non‐religious people. Copyright © 2012 John Wiley &amp; Sons, Ltd.",success,"These results suggest that
the religious participants were more prone to perceive a face in everyday objects than less-religious participants, which is consistent with a past finding (Riekki et al., 2013).",10.1002/acp.2874,10.1111/jpr.12158
Methylation at <i>SLC6A4</i> is linked to family history of child abuse: An examination of the Iowa Adoptee sample,Methylation at 5HTT Mediates the Impact of Child Sex Abuse on Women's Antisocial Behavior: An Examination of the Iowa Adoptee Sample,American Journal of Medical Genetics Part B: Neuropsychiatric Genetics,"Beach, S. R. H., Brody, G. H., Todorov, A. A., Gunter, T. D., & Philibert, R. A. (2010). Methylation at SLC6A4 is linked to family history of child abuse: An examination of the Iowa Adoptee sample. American Journal of Medical Genetics Part B: Neuropsychiatric Genetics, 153B(2), 710–713. Portico. https://doi.org/10.1002/ajmg.b.31028",success,"Replicating prior work, we found that a significant effect of childhood sex abuse on methylation of the 5HTT promoter region
emerged for women.",10.1002/ajmg.b.31028,10.1097/psy.0b013e3181fdd074
"The “identified victim” effect: an identified group, or just a single individual?",Revisiting the impact of singularity on the Identified Victim Effect: Replication and extension of Kogut and Ritov (2005a) Study 2,Journal of Behavioral Decision Making,"Kogut, T., & Ritov, I. (2005). The “identified victim” effect: an identified group, or just a single individual? Journal of Behavioral Decision Making, 18(3), 157–167. https://doi.org/10.1002/bdm.492",failure,The replication findings failed to provide empirical support for the identified single victim effect hypothesis since we found no evidence of differences in willingness to contribute when comparing a single identified victim to a single unidentified victim [...] and no indication for the target article’s interaction between singularity and identifiability,10.1002/bdm.492,10.1017/jdm.2024.31
Incidental environmental anchors,Many Labs 2: Investigating Variation in Replicability Across Samples and Settings,Journal of Behavioral Decision Making,"Abstract Three studies examined whether potential anchor values that are incidentally present in the environment can affect a person's numerical estimates. In Study 1, estimates of an athlete's performance were influenced by the number on his jersey. In Study 2, estimates of the proportion of sales in the domestic market were influenced by a product's model number. In Study 3, participants' estimates of how much they would spend at a restaurant were influenced by whether the restaurant was named “Studio 17” or “Studio 97.” These effects were not qualified by participants' expertise in the relevant domain (Study 1) or by their ability to subsequently recall the anchor value (Study 3). These findings document the existence of a new form of “basic anchoring” and suggest that not all basic anchoring effects are as fragile as the existing anchoring literature suggests. Copyright © 2007 John Wiley &amp; Sons, Ltd.",failure,"This result does not
support the hypothesis that sales estimates are influenced
by incidental anchors. The effect size was in the same
direction as the original effect size, but much smaller
(d = 0.04, 95% CI = [−0.01, 0.09], vs. original d = 0.30) and
indistinguishable from zero.",10.1002/bdm.586,10.1177/2515245918810225
Incidental environmental anchors,Do Incidental Environmental Anchors Bias Consumers’ Price Estimations?,Journal of Behavioral Decision Making,"Abstract Three studies examined whether potential anchor values that are incidentally present in the environment can affect a person's numerical estimates. In Study 1, estimates of an athlete's performance were influenced by the number on his jersey. In Study 2, estimates of the proportion of sales in the domestic market were influenced by a product's model number. In Study 3, participants' estimates of how much they would spend at a restaurant were influenced by whether the restaurant was named “Studio 17” or “Studio 97.” These effects were not qualified by participants' expertise in the relevant domain (Study 1) or by their ability to subsequently recall the anchor value (Study 3). These findings document the existence of a new form of “basic anchoring” and suggest that not all basic anchoring effects are as fragile as the existing anchoring literature suggests. Copyright © 2007 John Wiley &amp; Sons, Ltd.",failure,"No statistically significant evidence of incidental anchoring was obtained. In contrast, robust standard anchoring effects were found. The results suggest that anchoring is limited to situations which require explicit thinking about the anchor.",10.1002/bdm.586,10.1525/collabra.310
