journal,impact_factor
Journal of Behavioral Decision Making,1.1
Applied Cognitive Psychology,1.25
American Journal of Medical Genetics Part B: Neuropsychiatric Genetics,0.97
European Journal of Social Psychology,1.77
Journal of the Experimental Analysis of Behavior,1.12
Journal of Policy Analysis and Management,1.25
Strategic Management Journal,5.87
Southern Economic Journal,0.88
Cognitive Psychology,10.64
Journal of Experimental Social Psychology,1.38
Experimental Brain Research,1.86
Animal Cognition,1.64
Research on Child and Adolescent Psychopathology,1.98
Journal of Autism and Developmental Disorders,1.87
Marketing Letters,1.62
Reading and Writing,1.6
Review of Economics of the Household,1.09
ZDM,2.98
Neuroethics,2.35
The Psychological Record,0.92
Acta Psychologica,2.49
Schizophrenia Research,2.5
Journal of Operations Management,4.94
The Lancet Psychiatry,6.37
Appetite,2.99
Behaviour Research and Therapy,2.3
Cognitive Development,1.46
Cognition,2.31
Cortex,3.31
Current Biology,5.04
Developmental Brain Research,0
Drug and Alcohol Dependence,0.67
Economics of Education Review,1.51
Early Childhood Research Quarterly,1.81
International Journal of Research in Marketing,4.73
Journal of Consumer Psychology,4.07
Journal of Environmental Psychology,4.19
Journal of Science and Medicine in Sport,1.56
Journal of School Psychology,3.41
Learning and Instruction,4.95
Neuropsychologia,1.94
Neurobiology of Learning and Memory,1.69
Organizational Behavior and Human Decision Processes,3.67
Personality and Individual Differences,1.78
Poetics,0.69
Psychiatry Research,3.72
Psychology of Sport and Exercise,2.8
British Journal of Political Science,2.42
Bilingualism: Language and Cognition,1.7
Behaviour Change,0
Social Justice Research,1.48
Social Psychology,2.3
American Psychologist,2.6
Journal of Abnormal Psychology,0
Journal of Applied Psychology,3.5
Journal of Personality and Social Psychology,2.3
Psychological Review,4.08
Journal of Experimental Psychology: Human Perception and Performance,3.87
Journal of Experimental Psychology: General,1.72
Health Psychology,0.89
"Journal of Experimental Psychology: Learning, Memory, and Cognition",0.93
Emotion,1.36
Evolutionary Behavioral Sciences,1.04
Journal of Experimental Psychology,3.87
Motivation Science,1.69
Nature Climate Change,10.71
Nature Genetics,14.64
Nature Neuroscience,15.2
Obesity Research,0
Nature Human Behaviour,11.13
Nature,15.52
Scientific Reports,3.97
Palgrave Communications,0
Proceedings of the National Academy of Sciences,7.01
Annual Review of Cognitive Linguistics,0
Journal of Second Language Pronunciation,0.68
The Journal of Social Psychology,1.63
Cognition and Emotion,NA
Cognition &amp; Emotion,NA
Philosophical Psychology,1.11
Psychotherapy Research,2.02
Political Communication,3.84
Philosophical Explorations,0.93
"Language, Cognition and Neuroscience",1.51
Public Opinion Quarterly,2.68
Journal of Consumer Research,5.51
Journal of the Association for Consumer Research,1.65
"Cyberpsychology, Behavior, and Social Networking",3.51
Analysis,10.98
Health Education Research,1.43
Journal of Semantics,0.91
Social Cognitive and Affective Neuroscience,2.56
"Work, Aging and Retirement",2.8
Journal of Developmental &amp; Behavioral Pediatrics,NA
Psychosomatic Medicine,1.8
Proceedings of the Royal Society B: Biological Sciences,3.39
IEEE Transactions on Software Engineering,5.01
Psychological Science,4.45
British Journal of Health Psychology,1.83
Foreign Language Annals,1.24
Journal of Communication,3.45
Developmental Science,2.39
Child Development,2.11
Mind &amp; Language,NA
Noûs,1.26
Midwest Studies in Philosophy,0.54
Cognitive Science,1.34
Language Learning,3.24
Science,16.79
Proceedings of the 2017 ACM Conference on International Computing Education Research,NA
Journal of Applied Physiology,2.51
The Quarterly Journal of Economics,15.38
Journal of Cognitive Neuroscience,2.6
Journal of Cognition and Culture,0.43
Journal of Marketing Research,2.12
Personality and Social Psychology Bulletin,2.31
Journal of Language and Social Psychology,1.28
Assessment,1.01
Child Maltreatment,1.47
Social Psychological and Personality Science,2.63
Clinical Psychological Science,2.98
Basic and Applied Social Psychology,1.09
Medicine &amp; Science in Sports &amp; Exercise,NA
PLOS ONE,2.4
Journal of Public Policy &amp; Marketing,NA
Linguistics,2.82
Social Cognition,0.54
Violence and Victims,0.56
Journal of Medical Internet Research,5.99
Journal of Advertising Research,2.4
Frontiers in Pediatrics,1.49
Frontiers in Psychology,2.78
Psychonomic Bulletin &amp; Review,NA
Memory &amp; Cognition,NA
Perception &amp; Psychophysics,NA
"Attention, Perception, &amp; Psychophysics",NA
Cognition and Categorization,NA
Proceedings of Sinn und Bedeutung,0
Eastern Illinois University,0.05
Chemistry Education Research and Practice,2.98
Journal of Teacher Education,3.96
"Professional and Practice-based Learning,Human Fallibility",NA
Exceptional Children,1.81
The Elementary School Journal,1.04
Education and Treatment of Children,0.92
Focus on Autism and Other Developmental Disabilities,0.77
Journal of Educational Psychology,1.99
School Psychology Quarterly,0
Journal of Child Language,1.32
PsycEXTRA Dataset,0.01
Journal of Experimental Child Psychology,1.85
Social Psychology of Education,2.25
CBE—Life Sciences Education,3.65
Early Child Development and Care,1.26
Multilevel Analysis of Educational Data,NA
Vocabulary Learning and Instruction,0.42
Pediatric Rehabilitation,0
Zeitschrift für Pädagogische Psychologie,0.53
Journal of Applied Social Psychology,1.17
The Counseling Psychologist,1.38
Journal of Positive Behavior Interventions,1.33
Instructional Science,1.87
Research in Developmental Disabilities,2.32
Education and Training in Developmental Disabilities,0
Journal of Special Education Technology,2.74
Educational Studies in Mathematics,1.69
Preventing School Failure: Alternative Education for Children and Youth,0.84
Behavior Therapy,3.33
Creativity Research Journal,4.3
Computers &amp; Education,NA
Journal of Applied Behavior Analysis,2.3
Evaluating Second Language Education,NA
Learning and Individual Differences,4.4
Neuropsychological Rehabilitation,1.28
TESOL Quarterly,3.31
Research in the Teaching of English,0.52
Modelling and Assessing Vocabulary Knowledge,NA
Labour Economics,1.78
American Educational Research Journal,4.39
IPN - Leibniz-Institut für die Pädagogik der Naturwissenschaften und Mathematik : Kiel,NA
British Journal of Social Psychology,3.05
Journal of Memory and Language,2.48
Research in Higher Education,2.06
Journal of Research in Science Teaching,3.5
Language and Cognitive Processes,0
Journal of the Learning Sciences,4.38
The Canadian Modern Language Review,0
Journal of Learning Disabilities,1.82
Language Teaching Research,2.65
Physical Review Physics Education Research,3.05
Journal of Consulting and Clinical Psychology,1.85
Journal of Behavioral Education,1.1
Intellectual and Developmental Disabilities,1.21
Second Language Research,1.68
Journal of Second Language Writing,4.34
Contemporary Educational Psychology,3.1
Health Education Journal,1.47
Evaluation and Program Planning,1.61
British Journal of Psychology,1.9
Journal of General Internal Medicine,1.65
Journal of Health Communication,1.92
Current Psychology,2.08
Journal of Business Research,7.79
Journal of Second Language Studies,0.76
Single Case in the Social Sciences,0.68
"Accounting, Organizations and Society",6.07
Accident Analysis &amp; Prevention,NA
The American Journal of Psychology,0.3
BMC Health Services Research,2.98
The Journal of Nutrition,3.95
International Journal of Behavioral Development,1.35
The Modern Language Journal,0.04
Journal of Substance Use,0.59
Neuropsychopharmacology Reports,2.02
International Journal of Bilingualism,1.34
Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems,NA
American Economic Review,12.77
Journal of Management,6.95
Crime &amp; Delinquency,NA
Behavior Analysis: Research and Practice,0.35
Biomedicines,3.76
Journal of Economic Behavior &amp; Organization,NA
International Journal of Educational Technology in Higher Education,30.84
Translational Psychiatry,5.49
Behavioral Development Bulletin,NA
JMIR Mental Health,7.45
Carcinogenesis,2.12
Diabetes,0.55
Proceedings of the Human Factors Society Annual Meeting,0
The Journal of Finance,10.66
Arthritis &amp; Rheumatology,NA
Journal of Mammalogy,1.71
Developmental Psychology,1.31
Medical Care,1.34
Journal of Proteome Research,3.04
Journal of Marital and Family Therapy,0.82
Human Molecular Genetics,2.34
Journal of Marketing,4.84
The Journal of Abnormal and Social Psychology,0
Frontiers in Psychiatry,2.68
Neuroscience Letters,1.63
Emotion Review,2.42
Psychoneuroendocrinology,1.54
Nature Communications,14.32
European Journal of Neuroscience,2.17
Administrative Science Quarterly,3.18
Hippocampus,2.72
International Journal of Geriatric Psychiatry,2.3
Military Medicine,0.89
American Journal of Psychiatry,6.76
Archives of General Psychiatry,0
Age and Ageing,1.88
Annals of the Rheumatic Diseases,1
Journal of Medical Genetics,0
Medicina Sportiva,0
Molecular Autism,4.62
Brain Sciences,1.14
Virulence,3.99
Clinical Oral Investigations,3.18
Biological Psychiatry,1.27
NeuroImage,3.35
British Journal of Psychiatry,1.97
Choice Reviews Online,0
Inflammatory Bowel Diseases,1.96
Hearing Research,2.02
Marine Biology,1.83
Perception,0
Quarterly Journal of Experimental Psychology,0
New England Journal of Medicine,25.41
Molecular Psychiatry,7.19
The Journal of Neuroscience,0
Vision Research,1.63
Osteoarthritis and Cartilage,1.05
Proceedings of the 21st annual ACM symposium on User interface software and technology,NA
Journal of the American Academy of Child &amp; Adolescent Psychiatry,NA
Journal of Advanced Nursing,2.48
Journal of Occupational Rehabilitation,2.04
Medical Image Analysis,8.73
Political Analysis,3.39
JAMA Network Open,7.3
BMC Geriatrics,3.28
eLife,2.06
Studies in Second Language Acquisition,3.42
Journal of Genetics,1.1
Proceedings of the 51st ACM Technical Symposium on Computer Science Education,NA
IEEE Transactions on Visualization and Computer Graphics,3.27
Journal of Studies on Alcohol,0
Addiction,3.06
International Journal of Environment and Waste Management,0.22
Teaching of Psychology,2.32
Journal of Rehabilitation Research and Development,1575
Spine,1.99
PLoS Genetics,3.58
American Journal of Agricultural Economics,1.89
Learning &amp; Memory,NA
Royal Society Open Science,3.14
Experimental Economics,1.54
Gaming Law Review and Economics,0
"Journal of Neurology, Neurosurgery &amp; Psychiatry",NA
Journal of Anxiety Disorders,2.9
Experimental Physiology,2.06
Biological Psychology,1.96
Oxford Handbooks Online,NA
Behavioural Processes,1.06
Journal of Financial Economics,8.85
"Lecture Notes in Business Information Processing,Agile Processes in Software Engineering and Extreme Programming",NA
Journal of Adolescence,1.94
Journal of Early Intervention,0.84
The International Journal of Human Resource Management,3.31
Academy of Management Journal,5.08
Planta Medica,0.43
"Psychology of Aesthetics, Creativity, and the Arts",1.04
Frontiers in Human Neuroscience,2.79
Journal of Interprofessional Care,1.65
Journal of Clinical Psychology,1.9
Journal of Small Business Management,4.97
Econometrica,6.35
System,8.81
Management Science,4.74
Journal of Management Information Systems,6.2
Journal of Social and Personal Relationships,1.73
Proceedings of the 19th ACM SIGSOFT symposium and the 13th European conference on Foundations of software engineering,NA
Evolution and Human Behavior,1.99
Applied Neuropsychology,0
Psychiatry Research: Neuroimaging,1.33
Communication Education,2.29
Journal of Family Business Strategy,2.79
PLoS ONE,2.4
Prevention Science,1.77
Nature Medicine,24.82
European Review of Agricultural Economics,2.26
Psychiatric Annals,1.14
Journal of Advertising,6.09
Behavioral Ecology and Sociobiology,1.48
Social Science Quarterly,1.23
Schizophrenia Bulletin,1.9
PsycTESTS Dataset,0.06
Philosophy and Phenomenological Research,1.35
The FASEB Journal,2.53
Remote Sensing of Environment,8.66
Journal of Financial Markets,1.55
Brain Research,2.55
Journal of Business Venturing,5.25
Proceedings of the 17th International Conference on Mining Software Repositories,NA
Journal of Personality,2.3
Journal of Management Studies,4.88
Cell,33.25
Social Psychiatry and Psychiatric Epidemiology,2.34
International Studies of Management &amp; Organization,NA
The Lancet Diabetes &amp; Endocrinology,NA
Journal of Obsessive-Compulsive and Related Disorders,1.48
The Accounting Review,4.22
Psychophysiology,2.73
Behavioral and Brain Sciences,1.14
Injury Prevention,1.41
International Journal of Gynecology &amp; Obstetrics,NA
Journal of Public Administration Research and Theory,3.74
Neuro-Ophthalmology,0.92
Journal of Virology,3.71
Journal of Sex &amp; Marital Therapy,NA
Psychological Assessment,1.01
Clinical Psychology Review,7.17
Journal of Personality Disorders,1.87
The Economic Journal,3.64
Journal of Psychoeducational Assessment,1.52
Applied Animal Behaviour Science,1.94
SSRN Electronic Journal,0.21
MIS Quarterly,4.77
JAMA,7.15
Neurology Bulletin,0.31
Arthritis Research &amp; Therapy,NA
Proceedings of the 4th Annual ACM Web Science Conference,NA
Public Understanding of Science,2.65
Twin Research and Human Genetics,0.88
European Journal of Psychotraumatology,3.02
Accounting Horizons,1.22
Development and Psychopathology,2.72
Ergonomics,2.15
Proceedings of the 54th Annual Meeting of the Association for Computational Linguistics (Volume 2: Short Papers),NA
Journal of Community Psychology,1.3
American Sociological Review,4.87
Adoption &amp; Fostering,NA
Archives of Sexual Behavior,2
Philosophical Topics,0.19
Academic Medicine,1.6
Infant Mental Health Journal,1.15
Early Human Development,1.67
Journal of Systemic Therapies,0.35
Investigative Opthalmology &amp; Visual Science,NA
Stress,2.55
Annals of the International Communication Association,3.83
Financial Accountability &amp; Management,NA
Language in Mind,0.08
Aggressive Behavior,1.57
Human Brain Mapping,3.88
Journal of Behavior Therapy and Experimental Psychiatry,0.93
Journal of Educational Administration,2.07
Organization Science,5.28
Ear and Hearing,2.31
Journal of Alzheimer's Disease,1.79
JAMA Psychiatry,9.98
Art Therapy,1.38
Behavior Analysis in Practice,1.49
Psychological Monographs: General and Applied,NA
Behavioral Neuroscience,1.7
Cognitive Brain Research,0
Public Administration Review,2.7
ReCALL,7.97
Management International Review,2.79
Nursing Administration Quarterly,0.85
Computers in Human Behavior,8.9
Neuron,11.59
Research Quarterly for Exercise and Sport,1.3
Medical Teacher,3.2
Teacher Education and Special Education: The Journal of the Teacher Education Division of the Council for Exceptional Children,1.59
Developmental Cognitive Neuroscience,4.28
Journal of Interactive Marketing,2.66
"Personality Disorders: Theory, Research, and Treatment",1.2
Brain,2.55
Journal of Investigative Psychology and Offender Profiling,0.57
Applied Psycholinguistics,1.54
ICPSR Data Holdings,0.03
Representation,2.3
Canadian Journal of Political Science,0.53
Political Behavior,2.86
"White Party, White Government",NA
Encyclopedia of World Poverty,0
Political Research Quarterly,1.56
American Political Science Review,4.49
Journal of Conflict Resolution,1.26
American Journal of Political Science,3.61
Cancer Cell,26
Science Translational Medicine,12.75
Journal of Sport and Exercise Psychology,1.33
Journal of Sports Sciences,2.5
Journal of Strength and Conditioning Research,1.88
European Journal of Sport Science,2.24
International Journal of Sports Physiology and Performance,2.17
Journal of Strength &amp; Conditioning Research,NA
Scandinavian Journal of Medicine &amp; Science in Sports,NA
Child and Adolescent Mental Health,1.61
Brain Stimulation,1.38
